DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,057500,Collège Bourget,Collège Bourget,"65, rue Saint-Pierre",,71133,Rigaud,V,J0P1P0,Établissement d'enseignement privé,Privé,https://www.collegebourget.qc.ca,-74.30891,45.472717,450 451-0815
,058500,Collège Champagneur,Collège Champagneur,"3713, rue Queen",,62037,Rawdon,M,J0K1S0,Établissement d'enseignement privé,Privé,https://www.champagneur.qc.ca,-73.710726,46.043784,450 834-5401
,059500,Collège Charlemagne,Collège Charlemagne inc.,"5000, rue Pilon ",,66023,Montréal,V,H9K1G4,Établissement d'enseignement privé,Privé,https://www.collegecharlemagne.ca,-73.918275,45.459005,514 626-7060
,065500,Collège Charles-Lemoyne,Collège Charles-Lemoyne,"901, chemin Tiffin",,58227,Longueuil,V,J4P3G6,Établissement d'enseignement privé,Privé,https://monccl.com,-73.509842,45.514373,514 875-0505
,066500,Collège Clarétain de Victoriaville,Collège Clarétain de Victoriaville,"663, rue Gamache",,39062,Victoriaville,V,G6R0W3,Établissement d'enseignement privé,Privé,https://www.collegeclaretain.com,-71.96921,46.041853,819 752-4571
,069500,Collège de Champigny,Collège de Champigny,"1400, route de l'Aéroport",,23027,Québec,V,G2G1G6,Établissement d'enseignement privé,Privé,https://www.collegedechampigny.com,-71.361844,46.790874,418 872-0508
,074500,Coll. de L'Assomption,Collège de L'Assomption,"270, boulevard de l'Ange-Gardien",,60028,L'Assomption,V,J5W1R7,Établissement d'enseignement privé,Privé,https://www.classomption.qc.ca,-73.420768,45.827662,450 589-5621
,075500,Collège de l'Ouest de l'Île,Collège de l'Ouest de l'Île,"851, rue Tecumseh",,66142,Dollard-des-Ormeaux,V,H9B2L2,Établissement d'enseignement privé,Privé,https://www.wicmtl.ca,-73.814827,45.478745,514 683-4660
,076500,Collège de Lévis,Collège de Lévis,"9, rue Monseigneur-Gosselin",,25213,Lévis,V,G6V5K1,Établissement d'enseignement privé,Privé,https://www.collegedelevis.qc.ca,-71.181767,46.812416,418 833-1249
,077500,Coll. de Montréal,Collège de Montréal,"1931, rue Sherbrooke Ouest ",,66023,Montréal,V,H3H1E3,Établissement d'enseignement privé,Privé,https://www.college-montreal.qc.ca,-73.584509,45.495176,514 933-7397
,079500,Collège de Sainte-Anne-de-La-Pocatière,Collège de Sainte-Anne-de-La-Pocatière,"100, 4e Avenue ",,14082,La Pocatière,V,G0R1Z0,Établissement d'enseignement privé,Privé,https://www.leadercsa.com,-70.040929,47.366844,418 856-3012
,084500,Collège Supérieur de Montréal,Collège Supérieur de Montréal,"205, avenue Viger Ouest",,66023,Montréal,V,H2Z1G2,Établissement d'enseignement privé,Privé,https://www.collegecsm.com,-73.561382,45.505161,514 932-1122
,085500,Collège Jésus-Marie de Bellechasse,Collège Jésus-Marie de Bellechasse,"1, rue Saint-Georges",,19110,Saint-Michel-de-Bellechasse,M,G0R3S0,Établissement d'enseignement privé,Privé,https://www.cjmb.ca,-70.906426,46.876847,418 884-2360
,086500,Collège du Mont-Sainte-Anne,Collège du Mont-Sainte-Anne,"2100, chemin Sainte-Catherine ",,43027,Sherbrooke,V,J1N3V5,Établissement d'enseignement privé,Privé,https://www.collegemsa.com,-71.930901,45.371232,819 823-3003
,088500,Collège Durocher Saint-Lambert,Collège Durocher Saint-Lambert,"857, rue Riverside ",,58012,Saint-Lambert,V,J4P1C2,Établissement d'enseignement privé,Privé,https://www.cdsl.qc.ca,-73.517663,45.515686,450 671-5585
,089500,Collège Esther-Blondin,Collège Esther-Blondin,"101, rue Sainte-Anne ",,63013,Saint-Jacques,M,J0K2R0,Établissement d'enseignement privé,Privé,https://www.collegeblondin.qc.ca,-73.563523,45.957286,450 839-3672
,096500,Collège Français,Collège Français,"185, avenue Fairmount Ouest",,66023,Montréal,V,H2T2M6,Établissement d'enseignement privé,Privé,https://www.collegefrancais.ca,-73.596811,45.521624,514 495-2581
,097500,Collège Français,Collège Français,"1391, rue Beauregard ",,58227,Longueuil,V,J4K2M3,Établissement d'enseignement privé,Privé,https://www.collegefrancais.ca,-73.488174,45.509316,450 670-7391
,098500,Coll. François-Delaplace,Collège François-Delaplace,"365, rue Compton Est",,44080,Waterville,V,J0B3H0,Établissement d'enseignement privé,Privé,https://www.college-francois-delaplace.qc.ca/,-71.886865,45.277407,819 837-2882
,099500,Collège Héritage de Châteauguay,Collège Héritage de Châteauguay inc.,"270, boulevard d'Youville",,67050,Châteauguay,V,J6J4R6,Établissement d'enseignement privé,Privé,https://www.collegeheritage.ca,-73.7533,45.373985,450 692-5578
,106500,Collège Jean-de-Brébeuf,Collège Jean-De-Brébeuf,"3200, ch. Côte Ste-Catherine ",,66023,Montréal,V,H3T1C1,Établissement d'enseignement privé,Privé,https://www.brebeuf.qc.ca,-73.622805,45.501611,514 342-9342
,107500,Collège Jean de la Mennais,Collège Jean de la Mennais,"870, chemin de Saint-Jean",,67015,La Prairie,V,J5R2L5,Établissement d'enseignement privé,Privé,https://www.jdlm.qc.ca,-73.48519,45.411143,450 659-7657
,114500,Coll. Jean-Eudes,Collège Jean-Eudes,"3535, boul. Rosemont ",,66023,Montréal,V,H1X1K7,Établissement d'enseignement privé,Privé,https://www.cje.qc.ca,-73.579182,45.555406,514 376-5740
,115500,Collège Jésus-Marie de Sillery,Collège Jésus-Marie de Sillery,"2047, chemin Saint-Louis ",,23027,Québec,V,G1T1P3,Établissement d'enseignement privé,Privé,https://www.cjmds.qc.ca/,-71.25006,46.776421,418 687-9250
,116500,Collège Laval,Collège Laval,"1275, avenue du Collège",,65005,Laval,V,H7C1W8,Établissement d'enseignement privé,Privé,https://www.collegelaval.ca,-73.649034,45.615166,450 661-7714
